Arizona Cardinals,ARI,#9B2743,ARI.png
Atlanta Falcons,ATL,#BD0D18,ATL.png
Baltimore Ravens,BAL,#280353,BAL.png
Buffalo Bills,BUF,#00338D,BUF.png
Carolina Panthers,CAR,#0088CE,CAR.png
Chicago Bears,CHI,#03202F,CHI.png
Cincinnati Bengals,CIN,#FB4F14,CIN.gif
Cleveland Browns,CLE,#FE3C00,CLE.png
Dallas Cowboys,DAL,#0D254C,DAL.gif
Denver Broncos,DEN,#FB4F14,DEN.png
Detroit Lions,DET,#006DB0,DET.png
Green Bay Packers,GB,#203731,GB.png
Houston Texans,HOU,#02253A,HOU.png
Indianapolis Colts,IND,#003B7B,IND.png
Jacksonville Jaguars,JAC,#006778,JAC.png
Kansas City Chiefs,KC,#B20032,KC.png
Los Angeles Rams,LA,#13264B,LA.png
Miami Dolphins,MIA,#008D97,MIA.png
Minnesota Vikings,MIN,#3B0160,MIN.png
New England Patriots,NE,#0D254C,NE.gif
New Orleans Saints,NO,#D2B887,NO.gif
New York Giants,NYG,#192F6B,NYG.gif
New York Jets,NYJ,#0C371D,NYJ.gif
Oakland Raiders,OAK,#C4C8CB,OAK.gif
Philadelphia Eagles,PHI,#003B48,PHI.png
Pittsburgh Steelers,PIT,#FFB612,PIT.png
San Diego Chargers,SD,#0072CE,SD.png
San Francisco 49ers,SF,#AF1E2C,SF.gif
Seattle Seahawks,SEA,#002244,SEA.png
Tampa Bay Buccaneers,TB,#D60A0B,TB.png
Tennessee Titans,TEN,#648FCC,TEN.png
Washington Redskins,WAS,#773141,WAS.gif
